timestamp,pm2_5_forecast,pm2_5_lower_bound,pm2_5_upper_bound
2025-12-05 00:00:00,40.908122631993784,32.40459900183564,49.411646262151926
2025-12-05 01:00:00,103.67928587626281,95.17576224610467,112.18280950642095
2025-12-05 02:00:00,108.2401695618938,99.73664593173565,116.74369319205194
2025-12-05 03:00:00,106.17317082174503,97.66964719158689,114.67669445190317
2025-12-05 04:00:00,109.37558749592824,100.8720638657701,117.87911112608639
2025-12-05 05:00:00,105.23549933078063,96.73197570062248,113.73902296093877
2025-12-05 06:00:00,110.92913032384625,102.42560669368811,119.4326539540044
2025-12-05 07:00:00,115.28787448916317,106.78435085900503,123.79139811932131
2025-12-05 08:00:00,107.79228270832124,99.2887590781631,116.29580633847938
2025-12-05 09:00:00,119.5000198864293,110.99649625627116,128.00354351658746
2025-12-05 10:00:00,116.41116073957369,107.90763710941555,124.91468436973183
2025-12-05 11:00:00,119.03461040995693,110.53108677979878,127.53813404011507
2025-12-05 12:00:00,120.03286164942021,111.52933801926207,128.53638527957835
2025-12-05 13:00:00,121.36273432397145,112.85921069381331,129.8662579541296
2025-12-05 14:00:00,130.69965896753166,122.19613533737352,139.20318259768982
2025-12-05 15:00:00,132.8209645890495,124.31744095889137,141.32448821920767
2025-12-05 16:00:00,138.0981061882423,129.59458255808414,146.60162981840045
2025-12-05 17:00:00,142.49529909558373,133.99177546542558,150.9988227257419
2025-12-05 18:00:00,119.67054250020674,111.1670188700486,128.17406613036488
2025-12-05 19:00:00,131.19129441126478,122.68777078110664,139.69481804142293
2025-12-05 20:00:00,129.16904626381478,120.66552263365664,137.67256989397293
2025-12-05 21:00:00,132.62291588901547,124.11939225885733,141.12643951917363
2025-12-05 22:00:00,127.69903401112856,119.19551038097042,136.20255764128672
2025-12-05 23:00:00,126.8243686053878,118.32084497522966,135.32789223554596
2025-12-06 00:00:00,106.27918434649148,97.77566071633333,114.78270797664962
2025-12-06 01:00:00,112.90183317223686,104.39830954207872,121.405356802395
2025-12-06 02:00:00,109.35776675657077,100.85424312641263,117.86129038672891
2025-12-06 03:00:00,110.64552220046583,102.14199857030769,119.14904583062398
2025-12-06 04:00:00,110.20109681020713,101.69757318004899,118.70462044036528
2025-12-06 05:00:00,110.45005717639812,101.94653354623998,118.95358080655626
2025-12-06 06:00:00,109.9634979934578,101.45997436329966,118.46702162361595
2025-12-06 07:00:00,103.84281931531083,95.33929568515269,112.34634294546898
2025-12-06 08:00:00,96.03603121723653,87.53250758707838,104.53955484739467
2025-12-06 09:00:00,90.93023205207969,82.42670842192155,99.43375568223783
2025-12-06 10:00:00,91.21313628937953,82.70961265922139,99.71665991953768
2025-12-06 11:00:00,90.88143618467082,82.37791255451268,99.38495981482896
2025-12-06 12:00:00,90.74341654579027,82.23989291563213,99.24694017594841
2025-12-06 13:00:00,86.23325406302382,77.72973043286568,94.73677769318196
2025-12-06 14:00:00,80.46347087705331,71.95994724689517,88.96699450721145
2025-12-06 15:00:00,87.32142881953301,78.81790518937487,95.82495244969115
2025-12-06 16:00:00,86.11853305341012,77.61500942325198,94.62205668356826
2025-12-06 17:00:00,86.59198753373275,78.0884639035746,95.09551116389089
2025-12-06 18:00:00,86.42796965544105,77.9244460252829,94.93149328559919
2025-12-06 19:00:00,86.42868596304069,77.92516233288255,94.93220959319883
2025-12-06 20:00:00,86.35951880435888,77.85599517420074,94.86304243451703
2025-12-06 21:00:00,86.10324630394268,77.59972267378454,94.60676993410083
2025-12-06 22:00:00,84.56268810395801,76.05916447379987,93.06621173411615
2025-12-06 23:00:00,78.34829734544914,69.844773715291,86.85182097560728
2025-12-07 00:00:00,78.32166974907183,69.81814611891369,86.82519337922997
2025-12-07 01:00:00,78.69412899835186,70.19060536819372,87.19765262851
2025-12-07 02:00:00,81.8274406214486,73.32391699129046,90.33096425160674
2025-12-07 03:00:00,94.80919918386792,86.30567555370978,103.31272281402606
2025-12-07 04:00:00,95.79615512199123,87.29263149183309,104.29967875214938
2025-12-07 05:00:00,95.58688564973166,87.08336201957351,104.0904092798898
2025-12-07 06:00:00,95.71495151133169,87.21142788117355,104.21847514148983
2025-12-07 07:00:00,95.75205044828405,87.24852681812591,104.2555740784422
2025-12-07 08:00:00,96.21317864118402,87.70965501102587,104.71670227134216
2025-12-07 09:00:00,94.03323516864839,85.52971153849025,102.53675879880653
2025-12-07 10:00:00,93.4975488777907,84.99402524763256,102.00107250794885
2025-12-07 11:00:00,93.26983344971384,84.7663098195557,101.77335707987199
2025-12-07 12:00:00,117.23297672218277,108.72945309202463,125.73650035234091
2025-12-07 13:00:00,95.78277300544772,87.27924937528958,104.28629663560586
2025-12-07 14:00:00,99.4497089472367,90.94618531707856,107.95323257739484
2025-12-07 15:00:00,97.1001744748538,88.59665084469566,105.60369810501194
2025-12-07 16:00:00,98.24438684438901,89.74086321423087,106.74791047454715
2025-12-07 17:00:00,97.84122988098345,89.3377062508253,106.34475351114159
2025-12-07 18:00:00,97.8252640884736,89.32174045831546,106.32878771863174
2025-12-07 19:00:00,96.644126683253,88.14060305309486,105.14765031341115
2025-12-07 20:00:00,96.86060477707889,88.35708114692075,105.36412840723703
2025-12-07 21:00:00,96.72149204452026,88.21796841436212,105.2250156746784
2025-12-07 22:00:00,96.6038395564063,88.10031592624816,105.10736318656444
2025-12-07 23:00:00,91.21625409066581,82.71273046050767,99.71977772082396
2025-12-08 00:00:00,79.89802262650663,71.39449899634849,88.40154625666477
2025-12-08 01:00:00,83.64606694730898,75.14254331715084,92.14959057746712
