timestamp,pm2_5_forecast,pm2_5_lower_bound,pm2_5_upper_bound
2025-12-05 00:00:00,37.769224171914175,29.108589942152697,46.42985840167565
2025-12-05 01:00:00,133.69491782769697,125.03428359793548,142.35555205745845
2025-12-05 02:00:00,144.46813444017778,135.8075002104163,153.12876866993926
2025-12-05 03:00:00,143.93064702905508,135.2700127992936,152.59128125881657
2025-12-05 04:00:00,146.05020535689061,137.38957112712913,154.7108395866521
2025-12-05 05:00:00,146.35083924240809,137.6902050126466,155.01147347216957
2025-12-05 06:00:00,144.18805402821292,135.52741979845143,152.8486882579744
2025-12-05 07:00:00,146.23106267453335,137.57042844477186,154.89169690429483
2025-12-05 08:00:00,143.51161122377317,134.8509769940117,152.17224545353466
2025-12-05 09:00:00,144.75086477621065,136.09023054644916,153.41149900597213
2025-12-05 10:00:00,144.74740331289678,136.0867690831353,153.40803754265826
2025-12-05 11:00:00,145.20312400449546,136.54248977473398,153.86375823425695
2025-12-05 12:00:00,141.91630724874562,133.25567301898414,150.5769414785071
2025-12-05 13:00:00,143.2633795867009,134.6027453569394,151.92401381646238
2025-12-05 14:00:00,147.28152569914943,138.62089146938794,155.9421599289109
2025-12-05 15:00:00,148.70297809328906,140.04234386352758,157.36361232305055
2025-12-05 16:00:00,148.9894348850426,140.32880065528113,157.6500691148041
2025-12-05 17:00:00,147.2420749545867,138.58144072482523,155.9027091843482
2025-12-05 18:00:00,149.86992184272032,141.20928761295883,158.5305560724818
2025-12-05 19:00:00,149.5834981750176,140.92286394525613,158.2441324047791
2025-12-05 20:00:00,149.3425869531833,140.6819527234218,158.00322118294477
2025-12-05 21:00:00,146.5104143573795,137.849780127618,155.17104858714097
2025-12-05 22:00:00,144.74351123692188,136.0828770071604,153.40414546668336
2025-12-05 23:00:00,145.69307840264793,137.03244417288644,154.3537126324094
2025-12-06 00:00:00,141.77405601236893,133.11342178260745,150.43469024213042
2025-12-06 01:00:00,143.1072328109925,134.44659858123103,151.767867040754
2025-12-06 02:00:00,141.59263558586176,132.93200135610027,150.25326981562324
2025-12-06 03:00:00,143.40296433698413,134.74233010722264,152.0635985667456
2025-12-06 04:00:00,142.57161690874287,133.91098267898138,151.23225113850435
2025-12-06 05:00:00,130.6704601167071,122.0098258869456,139.33109434646857
2025-12-06 06:00:00,123.22036421970807,114.55972998994659,131.88099844946956
2025-12-06 07:00:00,122.42008715116441,113.75945292140293,131.0807213809259
2025-12-06 08:00:00,122.72969765446233,114.06906342470084,131.3903318842238
2025-12-06 09:00:00,115.67119428661574,107.01056005685426,124.33182851637723
2025-12-06 10:00:00,111.81747596258818,103.15684173282669,120.47811019234966
2025-12-06 11:00:00,102.58557940326162,93.92494517350013,111.2462136330231
2025-12-06 12:00:00,97.67237175076124,89.01173752099976,106.33300598052273
2025-12-06 13:00:00,108.12366399404051,99.46302976427903,116.784298223802
2025-12-06 14:00:00,108.54207044235629,99.8814362125948,117.20270467211778
2025-12-06 15:00:00,109.0130944454478,100.35246021568632,117.67372867520929
2025-12-06 16:00:00,110.89102938435566,102.23039515459418,119.55166361411715
2025-12-06 17:00:00,116.09110787924521,107.43047364948373,124.7517421090067
2025-12-06 18:00:00,117.18150194716138,108.5208677173999,125.84213617692286
2025-12-06 19:00:00,116.54868351769149,107.88804928793,125.20931774745297
2025-12-06 20:00:00,113.71193980287036,105.05130557310888,122.37257403263185
2025-12-06 21:00:00,112.39270822965479,103.7320739998933,121.05334245941627
2025-12-06 22:00:00,111.94109492036156,103.28046069060008,120.60172915012305
2025-12-06 23:00:00,111.73878977979325,103.07815555003177,120.39942400955474
2025-12-07 00:00:00,112.36718614847462,103.70655191871313,121.0278203782361
2025-12-07 01:00:00,112.34254185464198,103.6819076248805,121.00317608440346
2025-12-07 02:00:00,112.4241263918863,103.76349216212482,121.08476062164779
2025-12-07 03:00:00,113.04087965669379,104.3802454269323,121.70151388645527
2025-12-07 04:00:00,112.48524026570514,103.82460603594366,121.14587449546663
2025-12-07 05:00:00,112.8959288101728,104.23529458041132,121.55656303993429
2025-12-07 06:00:00,113.1868407867657,104.52620655700422,121.84747501652718
2025-12-07 07:00:00,113.49992931540291,104.83929508564142,122.1605635451644
2025-12-07 08:00:00,111.53837271012341,102.87773848036193,120.1990069398849
2025-12-07 09:00:00,106.53405735575923,97.87342312599775,115.19469158552072
2025-12-07 10:00:00,106.83959360080256,98.17895937104107,115.50022783056404
2025-12-07 11:00:00,107.41784015649654,98.75720592673505,116.07847438625802
2025-12-07 12:00:00,116.08191595513425,107.42128172537276,124.74255018489573
2025-12-07 13:00:00,111.63676770317427,102.97613347341279,120.29740193293576
2025-12-07 14:00:00,112.99371100828293,104.33307677852144,121.65434523804441
2025-12-07 15:00:00,112.88185108856142,104.22121685879993,121.5424853183229
2025-12-07 16:00:00,113.41894101107388,104.7583067813124,122.07957524083537
2025-12-07 17:00:00,112.94513458771094,104.28450035794945,121.60576881747242
2025-12-07 18:00:00,112.93927163071044,104.27863740094895,121.59990586047192
2025-12-07 19:00:00,112.74433659145632,104.08370236169483,121.4049708212178
2025-12-07 20:00:00,110.90265592620413,102.24202169644265,119.56329015596562
2025-12-07 21:00:00,112.15984615217705,103.49921192241557,120.82048038193854
2025-12-07 22:00:00,106.2819005186612,97.62126628889972,114.94253474842269
2025-12-07 23:00:00,107.95362167900042,99.29298744923894,116.6142559087619
2025-12-08 00:00:00,108.63228379484714,99.97164956508566,117.29291802460862
2025-12-08 01:00:00,108.27033729120572,99.60970306144424,116.9309715209672
